ID,Text,label
0,ca n't shake constant sens hopeless .,Depression
1,'m constant second-guess decis .,Anxiety Disorder
2,"'m feel physic unwel , know 's .",Depression
3,'m desper escap overwhelm fear .,Panic Disorder
4,'s hard describ sensat trap fear .,Panic Disorder
5,"'m avoid trigger prevent panic , 's isol .",Panic Disorder
6,"chest feel tight , 'm struggl breath .",Panic Disorder
7,"day , feel like 'm carri heavi weight 's hard explain .",Depression
8,'m overanalyz everi social interact .,Anxiety Disorder
9,tri navig convers emot run high .,Anger/ Intermittent Explosive Disorder
10,challeng find way handl power emot reaction .,Depression
11,'m worri anger drive peopl away .,Anger/ Intermittent Explosive Disorder
12,"even want remain calm , emot surg unexpect .",Depression
13,feel like 'm stuck cycl perpetu worri .,Anxiety Disorder
14,feel like 'm alway verg explod .,Anger/ Intermittent Explosive Disorder
15,expect other admir tast choic .,Narcissistic Disorder
16,wish could manag anger better .,Anger/ Intermittent Explosive Disorder
17,'m afraid anger lead lose import relationship .,Anger/ Intermittent Explosive Disorder
18,'m worri peopl see facad confid .,Anxiety Disorder
19,often interrupt convers redirect attent .,Narcissistic Disorder
20,"even want remain calm , emot surg unexpect .",Anger/ Intermittent Explosive Disorder
21,wish better control reaction 'm angri .,Anger/ Intermittent Explosive Disorder
22,feel like 'm disappoint everyon care .,Depression
23,'m overwhelm constant chatter anxious thought .,Anxiety Disorder
24,"tri catch breath , even 'm physic run .",Panic Disorder
25,'m consum need perfect avoid mistak .,Anxiety Disorder
26,tri balanc intens emot desir harmoni .,Anger/ Intermittent Explosive Disorder
27,"even want stay calm , emot flare unexpect .",Anger/ Intermittent Explosive Disorder
28,'m trembl shake uncontrol .,Panic Disorder
29,tri express viewpoint blend self-assured empathi .,Narcissistic Disorder
30,feel like 'm trap maze negat thought feel .,Depression
31,"matter , ca n't escap feel .",Depression
32,feel like anger barrier intimaci connect .,Anger/ Intermittent Explosive Disorder
33,"even crowd , feel alon , isol thought .",Depression
34,feel like presenc elev situat .,Narcissistic Disorder
35,'s hard describ allur admir envi .,Narcissistic Disorder
36,'m alway anticip next sourc stress .,Anxiety Disorder
37,'s like mind magnet thing could go wrong .,Anxiety Disorder
38,"allur success irresist , 'm determin achiev .",Narcissistic Disorder
39,tri find small moment joy amidst overal struggl .,Depression
40,tri find motiv world often feel colorless .,Depression
41,"'m best everyth , one compar .",Narcissistic Disorder
42,'m avoid situat might trigger panic .,Panic Disorder
43,feel like 'm navig world uncertainti doubt .,Anxiety Disorder
44,feel like 'm carri heavi burden 's invis everyon els .,Depression
45,'m convinc other honor know .,Narcissistic Disorder
46,'m constant battl thought .,Depression
47,'s hard describ inner convict 'm deserv great .,Narcissistic Disorder
48,"feel like 'm constant scan sign troubl , even 's none .",Anxiety Disorder
49,wish could find healthier way cope anger .,Anger/ Intermittent Explosive Disorder
50,"weight emot overwhelm , even re unspoken .",Depression
51,feel like presenc alon elev situat .,Narcissistic Disorder
52,expect peopl valid emot experi .,Narcissistic Disorder
53,'m lose interest everyth use enjoy .,Depression
54,feel like 'm constant tug-of-war worri desir peac .,Anxiety Disorder
55,feel entitl best everyth .,Narcissistic Disorder
56,'m constant berat perceiv failur .,Depression
57,'m terrifi unpredict panic .,Panic Disorder
58,'m convinc other awe .,Narcissistic Disorder
59,'m feel like 'm nightmar ca n't wake .,Panic Disorder
60,"'m lose touch realiti , 's overwhelm .",Panic Disorder
61,'m terrifi abl escap attack .,Panic Disorder
62,"feel like 'm walk tightrop , alway teeter edg .",Depression
63,"emot intens confus , even .",Depression
64,'m tire feel like prison anger .,Anger/ Intermittent Explosive Disorder
65,"loneli suffoc , even room full peopl .",Depression
66,"feel like 'm live behind mask , hide pain .",Depression
67,n't think anyon would even notic 'm gone .,Depression
68,tri find outlet emot energi wo n't caus harm .,Depression
69,challeng find way communic emot without overwhelm other .,Anger/ Intermittent Explosive Disorder
70,'m experienc sens unreal attack .,Panic Disorder
71,'m struggl find sens purpos .,Depression
72,'m constant worri 'm miss someth import .,Anxiety Disorder
73,pressur manag strong emot exhaust .,Depression
74,deserv special treatment 'm except .,Narcissistic Disorder
75,"'s like cloud dark hang , affect perspect .",Depression
76,'m lose sleep thing may never happen .,Anxiety Disorder
77,"even safeti space , fear make heart race .",Panic Disorder
78,"fear make mistak paralyz , leav frozen place .",Anxiety Disorder
79,expect peopl cater need .,Narcissistic Disorder
80,tri find moment peac mind 's turmoil .,Depression
81,'s hard describ sensat trap cycl worri .,Anxiety Disorder
82,'s like 'm tri navig maze strong emot .,Anger/ Intermittent Explosive Disorder
83,'m struggl find healthi way express frustrat .,Anger/ Intermittent Explosive Disorder
84,"sensat dread wash wave , unbidden .",Panic Disorder
85,'m push peopl away feel unworthi love .,Depression
86,feel like ca n't escap grip anxieti .,Anxiety Disorder
87,"even moment doubt , know uniqu perspect .",Narcissistic Disorder
88,tri find way stop thought race everi direct .,Anxiety Disorder
89,"even moment joy , 's persist shadow lurk .",Depression
90,need constant valid approv other .,Narcissistic Disorder
91,feel like 'm stuck loop dread wo n't let go .,Panic Disorder
92,pursuit success drive forc push forward .,Narcissistic Disorder
93,tri find way navig world feel uncertain scari .,Anxiety Disorder
94,'m experienc physic pain match emot pain .,Depression
95,fear control make even routin situat feel daunt .,Anxiety Disorder
96,"thought race , ca n't calm .",Panic Disorder
97,wish could find way communic without resort anger .,Anger/ Intermittent Explosive Disorder
98,'m struggl explain panic other .,Panic Disorder
99,"sometim , smallest decis feel like carri weight world .",Anxiety Disorder
100,'m convinc opinion alway insight .,Narcissistic Disorder
101,"even 's immedi danger , fear still consum .",Panic Disorder
102,"'s hard explain battl happen within , day day .",Depression
103,"'s like mind theater , play potenti danger repeat .",Anxiety Disorder
104,tri navig life thought feel like maze ca n't escap .,Anxiety Disorder
105,tri express self-assured uplift other .,Narcissistic Disorder
106,'m constant anticip next panic attack .,Panic Disorder
107,"bodi react danger immin , even safe situat .",Panic Disorder
108,challeng defus intens emot escal .,Anger/ Intermittent Explosive Disorder
109,'s hard futur feel uncertain scari .,Depression
110,n't see futur .,Depression
111,"'s like 's storm insid , 'm tri find calm .",Anger/ Intermittent Explosive Disorder
112,'m worri impact anxieti relationship .,Anxiety Disorder
113,"'s like 'm constant wait someth go wrong , even n't .",Panic Disorder
114,'m quick critic other boost self-esteem .,Narcissistic Disorder
115,feel like 'm suffoc thought .,Depression
116,feel like 'm constant tri stay one step ahead potenti problem .,Anxiety Disorder
117,tri find way quiet storm panic mind .,Panic Disorder
118,anger like fire burn insid .,Anger/ Intermittent Explosive Disorder
119,ca n't stand someon els receiv attent .,Narcissistic Disorder
120,'s hard explain sensat caught loop worri .,Anxiety Disorder
121,belief uniqu qualiti sometim misconstru .,Narcissistic Disorder
122,battl happen insid exhaust physic challeng .,Depression
123,'m live fog numb .,Depression
124,tri balanc confid understand other ' feel .,Narcissistic Disorder
125,'m avoid place remind past panic attack .,Panic Disorder
126,ca n't escap negat thought .,Depression
127,tri quiet chao mind everyth feel overwhelm .,Anxiety Disorder
128,'m struggl find way stop panic .,Panic Disorder
129,challeng find way channel intens emot posit action .,Anger/ Intermittent Explosive Disorder
130,feel like 'm constant walk tightrop emot .,Depression
131,feel like 'm carri weight apprehens 's hard shake .,Anxiety Disorder
132,'m interest peopl ca n't offer someth valuabl .,Narcissistic Disorder
133,'m consum worri thing beyond control .,Anxiety Disorder
134,"'s like 's thunderstorm insid , wait break free .",Anger/ Intermittent Explosive Disorder
135,'m struggl concentr race thought .,Anxiety Disorder
136,believ 'm entitl best treatment situat .,Narcissistic Disorder
137,tri find way cope emot surg unexpect .,Anger/ Intermittent Explosive Disorder
138,'m afraid panic attack public .,Panic Disorder
139,tri balanc reaction world frustrat .,Depression
140,ca n't find motiv thing .,Depression
141,'m tire lose temper hurt other .,Anger/ Intermittent Explosive Disorder
142,tri maintain control emot threaten consum .,Depression
143,'s hard describ storm emot brew within .,Depression
144,anger like storm cloud judgment .,Anger/ Intermittent Explosive Disorder
145,"'m feel like 'm edg cliff , fall .",Panic Disorder
146,feel like anger sabotag happi .,Anger/ Intermittent Explosive Disorder
147,feel like 'm drown rage .,Anger/ Intermittent Explosive Disorder
148,expect peopl valid feel opinion .,Narcissistic Disorder
149,get bed challeng part day .,Depression
150,find hard genuin empath other ' struggl .,Narcissistic Disorder
151,mind maze dark thought 's hard navig .,Depression
152,tri find light moment everyth seem shroud dark .,Depression
153,'s like 'm grappl whirlwind emot wo n't subsid .,Anger/ Intermittent Explosive Disorder
154,often manipul other ensur admir ador .,Narcissistic Disorder
155,fear make mistak keep even tri .,Anxiety Disorder
156,'m worri anger impact physic health .,Anger/ Intermittent Explosive Disorder
157,'m paralyz fear ca n't move .,Panic Disorder
158,wish could disappear bother .,Depression
159,feel like 'm roller coaster emot wo n't slow .,Anxiety Disorder
160,feel like 'm carri weight concern 's hard put .,Anxiety Disorder
161,"feel emot exhaust , even full night 's sleep .",Depression
162,feel like 'm beacon light sea mediocr .,Narcissistic Disorder
163,anger feel like poison spread .,Anger/ Intermittent Explosive Disorder
164,even smallest task feel like climb mountain .,Depression
165,often talk achiev talent .,Narcissistic Disorder
166,expect other admir look .,Narcissistic Disorder
167,feel like emot respons disproportion time .,Anger/ Intermittent Explosive Disorder
168,wish could feel someth sad .,Depression
169,feel like 'm constant tri keep emot check .,Anger/ Intermittent Explosive Disorder
170,'m driven need outshin everyon around .,Narcissistic Disorder
171,tri find outlet emot energi wo n't caus harm .,Anger/ Intermittent Explosive Disorder
172,fear futur overshadow even brightest moment .,Anxiety Disorder
173,feel like 'm drown fear .,Panic Disorder
174,'m struggl find healthi outlet anger .,Anger/ Intermittent Explosive Disorder
175,wish could escap prison mind .,Depression
176,feel like 'm verg panic attack time .,Anxiety Disorder
177,'m envious peopl seem happi carefre .,Depression
178,'m avoid situat might make feel trap .,Panic Disorder
179,feel like anger tick time bomb .,Anger/ Intermittent Explosive Disorder
180,'s hard explain magnet pull other .,Narcissistic Disorder
181,feel like emot forc 's hard contain .,Depression
182,"ca n't control temper , scare .",Anger/ Intermittent Explosive Disorder
183,feel like anger take life .,Anger/ Intermittent Explosive Disorder
184,'s like 'm tri steer ship choppi emot water .,Depression
185,'m constant search strategi manag anger .,Anger/ Intermittent Explosive Disorder
186,'m annoy other n't immedi agre .,Narcissistic Disorder
187,'m afraid ll trap situat panic attack strike .,Panic Disorder
188,'m struggl find way calm 'm angri .,Anger/ Intermittent Explosive Disorder
189,ca n't shake feel worthless .,Depression
190,"'s like 'm alway brace impact , even 's danger .",Panic Disorder
191,"even face challeng , know take .",Narcissistic Disorder
192,'s hard describ restless uneas take .,Anxiety Disorder
193,tri navig relationship knowledg uniqu qualiti .,Narcissistic Disorder
194,feel like 'm constant battl mind .,Anxiety Disorder
195,'m avoid situat might lead panic episod .,Panic Disorder
196,'s hard describ feel caught emot whirlpool .,Anger/ Intermittent Explosive Disorder
197,'m avoid thing use love fear panic .,Panic Disorder
198,tri find way cope everyth feel heavi .,Depression
199,"even challeng aris , confid abil overcom .",Narcissistic Disorder
200,want pain end .,Depression
201,'s hard describ empti fill day .,Depression
202,"often put first , even inconveni other .",Narcissistic Disorder
203,"even n't want react strong , emot overpow .",Depression
204,time nois head louder world around .,Panic Disorder
205,feel like achiev proof except abil .,Narcissistic Disorder
206,n't deserv happi .,Depression
207,"day , 's like 'm go motion , realli live .",Depression
208,ca n't shake feel impend doom .,Anxiety Disorder
209,'m worri anxious thought take life .,Anxiety Disorder
210,'m quick put other make feel superior .,Narcissistic Disorder
211,'m worri anger prevent live fulfil life .,Anger/ Intermittent Explosive Disorder
212,'m constant compar other feel inadequ .,Anxiety Disorder
213,'m avoid thing use enjoy anxieti .,Anxiety Disorder
214,tri find balanc self-confid humil .,Narcissistic Disorder
215,"'m exist , live .",Depression
216,'m put mask hide pain other .,Depression
217,"guilt overwhelm , abl snap . '",Depression
218,"ach insid deep , like wound wo n't heal .",Depression
219,"even moment calm , heart race 'm danger .",Anxiety Disorder
220,feel like 'm constant walk eggshel mind .,Anxiety Disorder
221,'m struggl stay ground attack .,Panic Disorder
222,"feel like 'm except , power inspir around .",Narcissistic Disorder
223,pressur make right decis feel suffoc time .,Anxiety Disorder
224,n't realli care anyth .,Depression
225,'s hard explain surg power emot sometim take .,Depression
226,'m cancel plan n't energi social .,Depression
227,"feel like 'm constant edg , danger alway lurk .",Anxiety Disorder
228,feel like 'm constant tri keep emot check .,Depression
229,pressur keep emot check exhaust .,Anger/ Intermittent Explosive Disorder
230,feel like emot state unpredict time .,Anger/ Intermittent Explosive Disorder
231,'s like emot roller coaster ca n't control .,Depression
232,'s like mind magnet potenti danger around .,Anxiety Disorder
233,'m experienc sens impend doom .,Panic Disorder
234,expect other listen admir opinion .,Narcissistic Disorder
235,feel like anxieti never-end battl .,Anxiety Disorder
236,anger feel like heavi weight ca n't shake .,Anger/ Intermittent Explosive Disorder
237,'m concern anger hurt love one .,Anger/ Intermittent Explosive Disorder
238,get frustrat lash without think .,Anger/ Intermittent Explosive Disorder
239,ca n't escap dark .,Depression
240,"feel like 'm edg , moment could set intens feel .",Anger/ Intermittent Explosive Disorder
241,"moment , feel like world crash around .",Panic Disorder
242,'m afraid lose touch realiti complet .,Panic Disorder
243,"feel alon , even crowd .",Depression
244,feel entitl loyalti admir friend .,Narcissistic Disorder
245,"'s like feel boil , even n't want .",Anger/ Intermittent Explosive Disorder
246,feel overwhelm intens emot bubbl surfac .,Anger/ Intermittent Explosive Disorder
247,anger like storm cloud judgment .,Anger/ Intermittent Explosive Disorder
248,"'m tire time , matter much sleep .",Depression
249,"pain constant , like dull ach never fade .",Depression
250,'m afraid lose mind attack .,Panic Disorder
251,'s hard mind feel like prison ca n't escap .,Depression
252,intern battl feel like constant tug-of-war feel .,Anger/ Intermittent Explosive Disorder
253,expect peopl recogn great without say .,Narcissistic Disorder
254,wish could explain feel sad everyth seem fine .,Depression
255,feel like 'm alien around anger .,Anger/ Intermittent Explosive Disorder
256,"'s tough world feel heavi , ca n't explain .",Depression
257,tri balanc innat confid empathi other .,Narcissistic Disorder
258,tri find outlet emot energi wo n't caus harm .,Depression
259,feel like anger ruin relationship .,Anger/ Intermittent Explosive Disorder
260,struggl find way navig life emot intens .,Depression
261,ca n't stand critic anyth challeng great .,Narcissistic Disorder
262,'s hard explain inner tempest brew within .,Depression
263,feel like 'm constant battl control intens feel .,Anger/ Intermittent Explosive Disorder
264,'m constant monitor bodi sign panic .,Panic Disorder
265,ca n't rememb last time genuin smile .,Depression
266,'m irrit angri appar reason .,Depression
267,"even room full peopl , know presenc magnet .",Narcissistic Disorder
268,feel like 'm go lose control second .,Panic Disorder
269,n't need anyon 's help ; handl everyth .,Narcissistic Disorder
270,feel like emot roller coaster ca n't control .,Anger/ Intermittent Explosive Disorder
271,tri find way calm storm thought never seem settl .,Anxiety Disorder
272,tri find way escap cycl worri never seem end .,Anxiety Disorder
273,'m cri without even know .,Depression
274,'m struggl sleep mind wo n't stop race .,Anxiety Disorder
275,"even want relax , mind keep race danger immin .",Anxiety Disorder
276,tri navig relationship emot overwhelm .,Anger/ Intermittent Explosive Disorder
277,"feel like 'm drown sad , unabl find surfac .",Depression
278,tri find strength small victori amidst struggl .,Depression
279,"even everyth seem fine , mind conjur doubt fear .",Anxiety Disorder
280,"'m alway center attent , love .",Narcissistic Disorder
281,"even n't want react strong , emot surg unexpect .",Anger/ Intermittent Explosive Disorder
282,wish could find way releas anger without caus harm .,Anger/ Intermittent Explosive Disorder
283,'m alway tri anticip prepar potenti problem .,Anxiety Disorder
284,'s hard explain battl goe within mind heart .,Depression
285,"even 'm silent , command room 's focus .",Narcissistic Disorder
286,tri express confid without appear arrog .,Narcissistic Disorder
287,"struggl real , find healthi way manag emot key .",Depression
288,intens fear make feel like 'm lose control .,Panic Disorder
289,'m race mind full fear thought .,Panic Disorder
290,"feel like 'm constant guard , wait someth happen .",Panic Disorder
291,feel like anger barrier person growth .,Anger/ Intermittent Explosive Disorder
292,"feel like 'm juggl emot , tri let take .",Anger/ Intermittent Explosive Disorder
293,'m convinc other envi success .,Narcissistic Disorder
294,allur power success drive forc journey .,Narcissistic Disorder
295,'m constant worri thing n't even happen .,Anxiety Disorder
296,feel like 'm drown sea worri .,Anxiety Disorder
297,'s hard describ inner struggl manag power emot .,Depression
298,'m scare consequ anger life .,Anger/ Intermittent Explosive Disorder
299,'s like 'm grappl whirlwind emot wo n't subsid .,Depression
300,deserv recognit prais achiev .,Narcissistic Disorder
301,'m terrifi 'm go die .,Panic Disorder
302,"even room full peopl , know 'm captiv .",Narcissistic Disorder
303,'m convinc 'm charm peopl .,Narcissistic Disorder
304,feel like emot state unpredict time .,Depression
305,pressur keep emot check sometim overwhelm .,Depression
306,'s hard explain constant battl happen insid mind .,Depression
307,feel like 'm constant carri backpack worri everywher go .,Anxiety Disorder
308,tri find way cope intens feel without hurt other .,Anger/ Intermittent Explosive Disorder
309,"tri hold onto hope , even feel reach .",Depression
310,'m struggl concentr anyth .,Depression
311,'m lose interest thing use love .,Depression
312,anger feel like anchor 's weigh .,Anger/ Intermittent Explosive Disorder
313,'m fake smile get day .,Depression
314,'m constant critic .,Depression
315,'m natur talent intellig peopl .,Narcissistic Disorder
316,anger like fire burn insid .,Anger/ Intermittent Explosive Disorder
317,feel like 'm trap never-end cycl sad .,Depression
318,feel like 'm stuck never-end sad .,Depression
319,'m constant battl urg explod anger .,Anger/ Intermittent Explosive Disorder
320,'m convinc 'm attract peopl .,Narcissistic Disorder
321,'m experienc wave intens fear ca n't control .,Panic Disorder
322,feel like emot reaction like roller coaster ride .,Depression
323,anger like storm take emot .,Anger/ Intermittent Explosive Disorder
324,feel like 'm carri weight world shoulder .,Anxiety Disorder
325,"even everyth 's okay , mind convinc otherwis .",Anxiety Disorder
326,feel entitl attent recognit time .,Narcissistic Disorder
327,'s like 'm tri steer ship choppi emot water .,Anger/ Intermittent Explosive Disorder
328,"pressur perfect suffoc , leav room mistak .",Anxiety Disorder
329,challeng find glimmer hope sea despair .,Depression
330,challeng find way handl power emot reaction .,Anger/ Intermittent Explosive Disorder
331,'s hard describ feel caught emot whirlpool .,Depression
332,feel like potenti revolution surround .,Narcissistic Disorder
333,feel like 'm trap cycl anxieti .,Anxiety Disorder
334,"ca n't catch breath , 's terrifi .",Panic Disorder
335,'m isol avoid trigger panic .,Panic Disorder
336,feel like 'm trap never-end cycl panic .,Panic Disorder
337,anger like beast ca n't control .,Anger/ Intermittent Explosive Disorder
338,feel like 'm constant edg emot erupt .,Anger/ Intermittent Explosive Disorder
339,tri navig life understand strength .,Narcissistic Disorder
340,"feel like 'm walk tightrop , one misstep away disast .",Anxiety Disorder
341,tension bodi feel like 'm carri invis weight .,Panic Disorder
342,"weight sad overwhelm , even seem good day .",Depression
343,allur success keep focus goal .,Narcissistic Disorder
344,'m tire regret follow anger outburst .,Anger/ Intermittent Explosive Disorder
345,'m annoy other n't recogn superior .,Narcissistic Disorder
346,struggl find healthi outlet intens emot energi .,Anger/ Intermittent Explosive Disorder
347,'m feel like bodi mind betray .,Panic Disorder
348,'s hard explain inner storm brew within .,Depression
349,'m unabl experi pleasur thing use love .,Depression
350,feel like 'm move slow motion life rush .,Depression
351,feel like 'm lose mind ca n't control .,Panic Disorder
352,'s like fire insid flare unexpect .,Depression
353,tri find lifelin fear threaten pull .,Panic Disorder
354,expect peopl cater desir prefer .,Narcissistic Disorder
355,'m worri anger damag reput .,Anger/ Intermittent Explosive Disorder
356,"'m constant irrit , 's affect well-b .",Anger/ Intermittent Explosive Disorder
357,pursuit excel lifelong journey .,Narcissistic Disorder
358,"emot feel like storm , clear way .",Depression
359,'m afraid anger escal danger level .,Anger/ Intermittent Explosive Disorder
360,"'s like feel escal sudden , even n't want .",Depression
361,feel like 'm trap bodi .,Panic Disorder
362,wish could find way break free grip anger .,Anger/ Intermittent Explosive Disorder
363,tri maintain control emot threaten consum .,Anger/ Intermittent Explosive Disorder
364,feel like someth bad alway happen .,Anxiety Disorder
365,"'m put brave face , insid , 'm fall apart .",Depression
366,n't know ask help .,Depression
367,n't think anyon could ever truli understand 'm feel .,Depression
368,'s hard explain constant tension resid within .,Anxiety Disorder
369,deserv special treatment 'm except .,Narcissistic Disorder
370,anger feel like never-end battl .,Anger/ Intermittent Explosive Disorder
371,'m struggl find sens calm amidst chao thought .,Anxiety Disorder
372,"tri kind , even thought cruel .",Depression
373,'m struggl find way cope intens anger .,Anger/ Intermittent Explosive Disorder
374,'m worri abl manag anxieti .,Anxiety Disorder
375,feel like 'm burden everyon around .,Depression
376,'m feel like burden famili .,Depression
377,'m scare thing never chang .,Depression
378,need best group 'm part .,Narcissistic Disorder
379,feel like 'm lose saniti attack .,Panic Disorder
380,'m struggl find way manag anger without explod .,Anger/ Intermittent Explosive Disorder
381,'m tire chao turmoil anger creat .,Anger/ Intermittent Explosive Disorder
382,expect peopl cater need desir .,Narcissistic Disorder
383,tri keep go even energi drain .,Depression
384,"thought spiral control , make everyth feel danger .",Panic Disorder
385,'s like confid shine armor protect doubt .,Narcissistic Disorder
386,'m constant battl urg lash .,Anger/ Intermittent Explosive Disorder
387,'s like 'm main charact stori triumph success .,Narcissistic Disorder
388,"weight emot overwhelm , even re hidden .",Depression
389,"even want feel happi , cloud sad linger .",Depression
390,'m constant battl rage simmer within .,Anger/ Intermittent Explosive Disorder
391,tri navig life thought feel like maze ca n't escap .,Anxiety Disorder
392,'m constant brace worst outcom .,Anxiety Disorder
393,challeng find way defus emot escal .,Anger/ Intermittent Explosive Disorder
394,'m afraid consequ anger futur .,Anger/ Intermittent Explosive Disorder
