ID,Text,label
395,'s hard describ turmoil feel emot surg .,Anger/ Intermittent Explosive Disorder
396,often disregard other ' feel conflict goal .,Narcissistic Disorder
397,"feel like stand crowd , draw everyon 's attent .",Narcissistic Disorder
398,"even everyth 's okay , mind convinc otherwis .",Anxiety Disorder
399,'s like 'm caught loop what-if ' worst-cas scenario .,Anxiety Disorder
400,'m focus best whatev .,Narcissistic Disorder
401,"magnet success undeni , 'm drawn .",Narcissistic Disorder
402,'s like 'm carri weight emot 's hard put .,Anger/ Intermittent Explosive Disorder
403,"pain real , even 's invis other .",Depression
404,feel like 'm constant walk tightrop emot intens .,Anger/ Intermittent Explosive Disorder
405,'m struggl focus anyth due constant chatter mind .,Anxiety Disorder
406,everyth feel overwhelm .,Depression
407,'m dismiss peopl n't share interest view .,Narcissistic Disorder
408,tri navig world frustrat get best .,Anger/ Intermittent Explosive Disorder
409,'m avoid situat might confront fear .,Anxiety Disorder
410,'m avoid situat might trigger obsess thought .,Anxiety Disorder
411,challeng find construct way express emot without caus harm .,Anger/ Intermittent Explosive Disorder
412,'m worri anger negat impact health .,Anger/ Intermittent Explosive Disorder
413,feel like opinion insight unparallel .,Narcissistic Disorder
414,'m struggl manag fear .,Panic Disorder
415,"fear make mistak paralyz , keep tri .",Anxiety Disorder
416,feel like abil turn dream realiti .,Narcissistic Disorder
417,anger feel like volcano 's erupt .,Anger/ Intermittent Explosive Disorder
418,ca n't toler critic hurt ego .,Narcissistic Disorder
419,"fear unknown paralyz , hold back take action .",Anxiety Disorder
420,feel like 'm consum panic .,Panic Disorder
421,feel like 'm journey destin fame glori .,Narcissistic Disorder
422,'m scare thing never get better .,Depression
423,feel entitl special treatment .,Narcissistic Disorder
424,"feel like 'm constant alert , readi whatev might go wrong .",Anxiety Disorder
425,'s like 'm forc natur ca n't ignor .,Narcissistic Disorder
426,"'m alway high alert , scan potenti threat .",Anxiety Disorder
427,"thought becom maze , lead circl panic .",Panic Disorder
428,struggl accept flaw limit .,Narcissistic Disorder
429,"even moment uncertainti , know potenti limitless .",Narcissistic Disorder
430,'s like 'm masterpiec everyon admir .,Narcissistic Disorder
431,'m constant imagin worst-cas scenario .,Anxiety Disorder
432,ca n't focus anyth except panic .,Panic Disorder
433,'m struggl make even simplest decis .,Depression
434,tri find moment connect world feel isol .,Depression
435,'s hard describ inner struggl manag power emot .,Anger/ Intermittent Explosive Disorder
436,"'m sure feel way , 's constant struggl .",Depression
437,feel like ambit connect bigger purpos .,Narcissistic Disorder
438,tri find foot feel like ground shake .,Panic Disorder
439,time mind feel like storm ca n't escap .,Panic Disorder
440,sensat trap never-end cycl fear intens .,Panic Disorder
441,wish could escap dark .,Depression
442,"'s like 'm beacon , draw other radiant presenc .",Narcissistic Disorder
443,feel like 'm stuck loop what-if ' worst-cas scenario .,Anxiety Disorder
444,wish could find light dark often feel .,Depression
445,tri find moment peac sea restless .,Anxiety Disorder
446,sensat impend doom inescap overwhelm .,Panic Disorder
447,'m unabl think clear panic set .,Panic Disorder
448,"'s like mind theater , play worst-cas scenario repeat .",Anxiety Disorder
449,allur achiev great push strive .,Narcissistic Disorder
450,'m avoid take risk fear trigger anxieti .,Anxiety Disorder
451,tri find way ground thought place .,Anxiety Disorder
452,'m worri anxieti hold back live life .,Anxiety Disorder
453,'m envious receiv attent .,Narcissistic Disorder
454,"day , mind feel like whirlwind what-if ' uncertainti .",Anxiety Disorder
455,'s like knot stomach wo n't untangl .,Anxiety Disorder
456,'m isol 'm afraid reject .,Depression
457,'s hard get bed morn .,Depression
458,'m worri embarrass front other .,Panic Disorder
459,tri maintain composur emot threaten overpow .,Anger/ Intermittent Explosive Disorder
460,feel like 'm constant walk tightrop emot intens .,Depression
461,feel like 'm path success other ca n't understand .,Narcissistic Disorder
462,feel like 'm consum overwhelm dark .,Panic Disorder
463,'m convinc 'm attract peopl .,Narcissistic Disorder
464,'m tire feel control get angri .,Anger/ Intermittent Explosive Disorder
465,'m experienc surg adrenalin ca n't calm .,Panic Disorder
466,"even moment doubt , know strength set apart .",Narcissistic Disorder
467,feel like 'm push peopl away explos reaction .,Anger/ Intermittent Explosive Disorder
468,tri find way silenc relentless critic head .,Anxiety Disorder
469,"struggl sleep , yet feel exhaust time .",Depression
470,"feel like 'm stand edg precipic , afraid move .",Panic Disorder
471,wish could disappear .,Depression
472,'m avoid situat trigger anxieti .,Anxiety Disorder
473,pressur keep emot check sometim overwhelm .,Anger/ Intermittent Explosive Disorder
474,feel like 'm constant battl control intens feel .,Depression
475,"day , find hard focus anyth achiev .",Narcissistic Disorder
476,find hard admit mistak apolog .,Narcissistic Disorder
477,expect other go way pleas .,Narcissistic Disorder
478,"feel like 'm danger , even 's threat .",Panic Disorder
479,pressur avoid misstep keep take step forward .,Anxiety Disorder
480,"feel like 'm edg , moment could set intens feel .",Depression
481,expect peopl listen agre say .,Narcissistic Disorder
482,"weight sad overwhelm , even crowd room .",Depression
483,desir excel power motiv .,Narcissistic Disorder
484,wish could find way manag anger without hurt anyon .,Anger/ Intermittent Explosive Disorder
485,tri navig day even simpl task feel overwhelm .,Depression
486,'m avoid trigger even re thing use enjoy .,Panic Disorder
487,tri quiet chao mind everyth feel overwhelm .,Anxiety Disorder
488,'m avoid mirror ca n't stand reflect .,Depression
489,'m avoid situat escap might difficult .,Panic Disorder
490,'s hard describ convict meant great .,Narcissistic Disorder
491,"even odd seem daunt , remain steadfast determin .",Narcissistic Disorder
492,'s like 'm carri heavi secret 's eat insid .,Depression
493,feel like mind radio tune worst-cas scenario .,Anxiety Disorder
494,want pain stop .,Depression
495,'m avoid social situat 's hard .,Depression
496,"fear disappoint other overwhelm , even 's irrat .",Anxiety Disorder
497,feel like mind never-end storm worri .,Anxiety Disorder
498,"even noth 's wrong , mind storm worri panic .",Panic Disorder
499,"day , mind feel like 's race never-end track .",Anxiety Disorder
500,"time mind storm , make hard focus .",Panic Disorder
501,'m plagu irrat fear ca n't control .,Anxiety Disorder
502,drive success sometim all-consum .,Narcissistic Disorder
503,"'s like surg electr run , jolt sens .",Panic Disorder
504,"moment happi fleet , sad linger .",Depression
505,hardest person honest often .,Depression
506,'m worthless .,Depression
507,"heart race 'm run marathon , even sit still .",Panic Disorder
508,"'m lazi , sometim 's hard find motiv anyth .",Depression
509,tri find balanc self-confid humil .,Narcissistic Disorder
510,'m terrifi alon panic episod .,Panic Disorder
511,"even n't want react strong , emot overpow .",Anger/ Intermittent Explosive Disorder
512,'m struggl find way calm race thought .,Panic Disorder
513,tri channel ambit posit outcom .,Narcissistic Disorder
514,constant worri feel like storm cloud hang .,Anxiety Disorder
515,even smallest trigger set chain reaction insid .,Anger/ Intermittent Explosive Disorder
516,feel like deserv noth less best life offer .,Narcissistic Disorder
517,"even moment calm , mind whirlwind fear .",Panic Disorder
518,tri find anchor mind feel like 's drift away .,Panic Disorder
519,'m overthink everi littl detail drive crazi .,Anxiety Disorder
520,tri find way silenc critic voic head .,Anxiety Disorder
521,"fear unknown paralyz , hold back take action .",Anxiety Disorder
522,'m cri sleep night .,Depression
523,anger feel like overpow forc ca n't resist .,Anger/ Intermittent Explosive Disorder
524,tri balanc turmoil emot need calm .,Anger/ Intermittent Explosive Disorder
525,wish could find way defus anger escal .,Anger/ Intermittent Explosive Disorder
526,tri navig world seem full potenti danger .,Anxiety Disorder
527,feel except sometim isol .,Narcissistic Disorder
528,'s like 's constant storm worri brew insid .,Anxiety Disorder
529,'m alway anticip worst outcom situat .,Anxiety Disorder
530,"'m dizzi disori , 's frighten .",Panic Disorder
531,'m afraid rage feel build insid .,Anger/ Intermittent Explosive Disorder
532,feel like 'm grappl torrent intens emot .,Anger/ Intermittent Explosive Disorder
533,'m avoid social interact prevent anxious thought .,Anxiety Disorder
534,find hard connect peopl n't accomplish .,Narcissistic Disorder
535,ca n't seem find joy thing anymor .,Depression
536,'m paralyz fear ca n't make decis .,Anxiety Disorder
537,allur success like guid star life journey .,Narcissistic Disorder
538,'m tire fight thought .,Depression
539,feel like 'm tri tame wild anim insid .,Anger/ Intermittent Explosive Disorder
540,"sometim world feel gray , find color seem imposs .",Depression
541,'m uncomfort 'm center attent .,Narcissistic Disorder
542,'s hard explain surg panic strike moment .,Anxiety Disorder
543,feel like 'm disappoint everyon .,Depression
544,"'m constant grappl anger , tri contain .",Anger/ Intermittent Explosive Disorder
545,"fear grip sudden , make everi second feel like etern .",Panic Disorder
546,"feel emot numb , 'm disconnect life .",Depression
547,"even moment peac , emot bubbl beneath surfac .",Anger/ Intermittent Explosive Disorder
548,n't energi face anoth day .,Depression
549,tri maintain composur emot threaten overpow .,Depression
550,tri find moment still thought constant motion .,Anxiety Disorder
551,'m worri long-term impact chronic anxieti .,Anxiety Disorder
552,moment bodi feel like 's state emerg .,Panic Disorder
553,often use social media showcas achiev lifestyl .,Narcissistic Disorder
554,'m withdraw peopl n't want burden .,Depression
555,tri maintain equilibrium emot run high .,Anger/ Intermittent Explosive Disorder
556,tri find way express feel without caus harm .,Anger/ Intermittent Explosive Disorder
557,'m struggl keep thought spiral control .,Panic Disorder
558,tri find delic balanc confid humil .,Narcissistic Disorder
559,"day , 's hard imagin futur thing feel better .",Depression
560,often take advantag situat boost imag .,Narcissistic Disorder
561,challeng communic feel without overwhelm other .,Depression
562,feel entitl receiv constant admir other .,Narcissistic Disorder
563,"day , 's fight hold back tear .",Depression
564,"feel like 'm suffoc , even 's enough air breath .",Panic Disorder
565,'m dismiss peopl consid beneath .,Narcissistic Disorder
566,'s tough even simplest task becom overwhelm .,Depression
567,'m tire guilt follow anger outburst .,Anger/ Intermittent Explosive Disorder
568,'m annoy other n't appreci advic .,Narcissistic Disorder
569,'m terrifi make mistak face consequ .,Anxiety Disorder
570,tri strike harmoni balanc self-confid empathi .,Narcissistic Disorder
571,'m alway wait next shoe drop .,Anxiety Disorder
572,'s like 'm tri navig maze strong emot reaction .,Depression
573,often compar other prove superior .,Narcissistic Disorder
574,'m afraid anger damag reput .,Anger/ Intermittent Explosive Disorder
575,"'m better peopl , want acknowledg .",Narcissistic Disorder
576,feel like 'm trap mind worri .,Anxiety Disorder
577,"often brag possess , accomplish , status .",Narcissistic Disorder
578,"struggl real , even 's visibl other .",Depression
579,feel like 'm tangl web anxious thought .,Anxiety Disorder
580,"'s like emot anchor , hold back happi .",Depression
581,"even moment calm , feel storm brew insid .",Anger/ Intermittent Explosive Disorder
582,feel like achiev testament extraordinari abil .,Narcissistic Disorder
583,feel like 'm constant walk tightrop emot restraint .,Anger/ Intermittent Explosive Disorder
584,feel like 'm constant danc intens feel .,Anger/ Intermittent Explosive Disorder
585,tri navig social situat emot run high .,Anger/ Intermittent Explosive Disorder
586,believ deserv admir simpli .,Narcissistic Disorder
587,tri maintain smile feel broken insid exhaust .,Depression
588,fear judgment keep express true self .,Anxiety Disorder
589,tri find way diffus emot tension escal .,Anger/ Intermittent Explosive Disorder
590,wish could communic frustrat without get angri .,Anger/ Intermittent Explosive Disorder
591,feel like emot reaction like roller coaster ride .,Anger/ Intermittent Explosive Disorder
592,feel like 'm lose .,Depression
593,'s like 'm walk life heavi heart never lift .,Depression
594,"even 'm quiet , know presenc command attent .",Narcissistic Disorder
595,even small trigger set chain reaction intens feel .,Anger/ Intermittent Explosive Disorder
596,'m alway prepar worst-cas scenario .,Anxiety Disorder
597,'m annoy other n't acknowledg superior skill .,Narcissistic Disorder
598,time bodi feel like pressur cooker readi explod .,Panic Disorder
599,'m worri anger damag self-esteem .,Anger/ Intermittent Explosive Disorder
600,wish could find way releas anger without caus damag .,Anger/ Intermittent Explosive Disorder
601,'m worri toll panic take health .,Panic Disorder
602,"even good day , 's linger feel empti .",Depression
603,'m overwhelm constant what if ' .,Anxiety Disorder
604,find hard acknowledg other ' strength achiev .,Narcissistic Disorder
605,tri find outlet emot energi wo n't caus harm .,Anger/ Intermittent Explosive Disorder
606,expect peopl grate attent give .,Narcissistic Disorder
607,'m isol everyon .,Depression
608,feel like potenti great limitless .,Narcissistic Disorder
609,'m afraid damag anger caus other .,Anger/ Intermittent Explosive Disorder
610,wish could find energi enjoy thing like use .,Depression
611,feel like 'm trap cycl numb pain .,Depression
612,'s hard explain feel stand forefront life 's journey .,Narcissistic Disorder
613,struggl find healthi outlet intens emot energi .,Depression
614,'s hard explain frustrat alway emot control .,Anger/ Intermittent Explosive Disorder
615,"feel like 'm constant alert , readi whatev might go wrong .",Anxiety Disorder
616,"struggl real , even manag keep move forward .",Depression
617,pursuit success propel forward determin .,Narcissistic Disorder
618,'m alway anticip next sourc anxieti .,Anxiety Disorder
619,feel like 'm constant danc power emot .,Depression
620,feel entitl admir attent .,Narcissistic Disorder
621,'m scare ll never free fear .,Panic Disorder
622,'m avoid situat might make feel vulner expos .,Anxiety Disorder
623,'s hard describ inner certainti 'm destin great .,Narcissistic Disorder
624,feel like anger wall keep peopl distanc .,Anger/ Intermittent Explosive Disorder
625,'m overwhelm even smallest task .,Depression
626,"day , emot feel like storm 's hard control .",Depression
627,'m terrifi lose control act irrate .,Panic Disorder
628,feel like 'm tri navig world uncertainti doubt .,Anxiety Disorder
629,tri navig convers emot run high .,Depression
630,feel like 'm tug-of-war worri desir peac .,Anxiety Disorder
631,feel like anger hold back reach potenti .,Anger/ Intermittent Explosive Disorder
632,isol feel like comfort curs .,Depression
633,find hard handl reject ignor .,Narcissistic Disorder
634,wish someon would understand much 'm hurt .,Depression
635,ca n't escap feel trap .,Depression
636,tri find way silenc critic voic head .,Anxiety Disorder
637,"struggl real , find healthi way manag emot essenti .",Anger/ Intermittent Explosive Disorder
638,"thought becom maze fear , clear way .",Panic Disorder
639,tri find way cope intens feel without hurt other .,Depression
640,'m concern anger damag self-esteem .,Anger/ Intermittent Explosive Disorder
641,belief capabl fuel determin .,Narcissistic Disorder
642,'s hard explain rush adrenalin surg .,Panic Disorder
643,'m terrifi judg irrat fear .,Anxiety Disorder
644,tri find strength face day hope outlook .,Depression
645,'s like 'm wrestl whirlwind power emot .,Depression
646,rush anxieti make feel like 'm freefal .,Panic Disorder
647,often exploit situat advantag .,Narcissistic Disorder
648,"even calm moment , mind race thought potenti danger .",Anxiety Disorder
649,"even moment still , emot tumultu sea .",Anger/ Intermittent Explosive Disorder
650,tri navig convers emot feel overwhelm .,Anger/ Intermittent Explosive Disorder
651,'m alway question whether 'm good enough .,Anxiety Disorder
652,deserv best everyth 'm superior .,Narcissistic Disorder
653,feel like 'm destin make mark world .,Narcissistic Disorder
654,pursuit great propel forward everi day .,Narcissistic Disorder
655,feel like 'm walk world uncertainti without map .,Anxiety Disorder
656,wish could find way releas anger without hurt other .,Anger/ Intermittent Explosive Disorder
657,wish could feel joy happi way use .,Depression
658,"even moment still , thought whirlwind uneas .",Anxiety Disorder
659,tri navig life knowledg 'm except .,Narcissistic Disorder
660,'m terrifi abl escap panic-induc situat .,Panic Disorder
661,"day , emot feel like wildfir struggl contain .",Anger/ Intermittent Explosive Disorder
662,'m uncomfort other challeng author knowledg .,Narcissistic Disorder
663,'m entitl special privileg 'm uniqu .,Narcissistic Disorder
664,'m avoid new experi trigger anxieti .,Anxiety Disorder
665,'m struggl find way cope feel overwhelm anger .,Anger/ Intermittent Explosive Disorder
666,'s hard describ feel trap cycl worri .,Anxiety Disorder
667,challeng keep lid intens feel .,Anger/ Intermittent Explosive Disorder
668,feel like 'm walk world uncertainti map .,Anxiety Disorder
669,"feel like 'm run invis threat , even familiar place .",Panic Disorder
670,feel like 'm suffoc weight anxieti .,Anxiety Disorder
671,'m lose abil feel anyth sad .,Depression
672,tri navig world frustrat get best .,Depression
673,'m struggl make plan fear attack .,Panic Disorder
674,often manipul situat make look better .,Narcissistic Disorder
675,ca n't seem quiet constant what ' thought .,Anxiety Disorder
676,feel empti insid .,Depression
677,'s like 'm tri navig maze strong emot reaction .,Anger/ Intermittent Explosive Disorder
678,tri find way quiet inner critic never seem rest .,Anxiety Disorder
679,'m constant check bodi sign panic .,Panic Disorder
680,"overwhelm fear paralyz , hold back everyth .",Panic Disorder
681,'m exhaust battl mind .,Depression
682,"even moment calm , feel storm brew insid .",Depression
683,feel like 'm constant state fight flight .,Panic Disorder
684,'m avoid situat make feel vulner .,Anxiety Disorder
685,'s like heart race faster keep .,Panic Disorder
686,'s like 'm drive forc propel other forward .,Narcissistic Disorder
687,"'m alway look sign danger , even safe situat .",Anxiety Disorder
688,'m dwell past mistak regret .,Depression
689,'m tire guilt shame come anger subsid .,Anger/ Intermittent Explosive Disorder
690,feel entitl success admir other .,Narcissistic Disorder
691,"often feel like outsid look , disconnect everyth .",Depression
692,'s hard describ feel trap within .,Depression
693,pursuit success like ever-burn flame insid .,Narcissistic Disorder
694,expect other recogn valu without need prove .,Narcissistic Disorder
695,"even moment calm , heart race 'm danger .",Anxiety Disorder
696,believ 'm deserv recognit other .,Narcissistic Disorder
697,feel like innat charisma light room .,Narcissistic Disorder
698,challeng find construct way express emot without caus harm .,Depression
699,struggl maintain emot balanc face trigger .,Anger/ Intermittent Explosive Disorder
700,'m worri anxieti make miss opportun .,Anxiety Disorder
701,"even moment silenc , emot tumultu sea insid .",Depression
702,'m convinc love one would better without .,Depression
703,feel like emot respons catch guard .,Anger/ Intermittent Explosive Disorder
704,tri hold onto fleet moment happi connect .,Depression
705,'m struggl focus anyth worri .,Anxiety Disorder
706,'m struggl find moment peac anxieti .,Anxiety Disorder
707,"struggl real , find healthi way manag emot essenti .",Depression
708,'m consum doubt uncertainti .,Anxiety Disorder
709,feel like 'm drown mind .,Depression
710,tri exud charisma without overshadow other .,Narcissistic Disorder
711,'m avoid trigger even seem harmless other .,Anxiety Disorder
712,'s like 'm navig life 's challeng heavi heart .,Depression
713,'m convinc someth terribl happen .,Panic Disorder
714,tri maintain balanc self-assured empathi .,Narcissistic Disorder
715,find hard genuin celebr other ' success .,Narcissistic Disorder
716,intern conflict like tug-of-war calm turmoil .,Anger/ Intermittent Explosive Disorder
717,'m haunt negat thought .,Depression
718,'m avoid situat might make feel control .,Anxiety Disorder
719,'m constant seek reassur other .,Anxiety Disorder
720,'m tire feel like prison rage .,Anger/ Intermittent Explosive Disorder
721,wish could find word explain 's go insid .,Depression
722,wish could find way manag anger escal .,Anger/ Intermittent Explosive Disorder
723,"fear failur all-consum , hold back take risk .",Anxiety Disorder
724,'m afraid impact anger children .,Anger/ Intermittent Explosive Disorder
725,expect peopl fascin stori experi .,Narcissistic Disorder
726,feel like 'm constant battl rage .,Anger/ Intermittent Explosive Disorder
727,'m afraid one understand 'm go .,Panic Disorder
728,feel like emot storm never quit pass .,Depression
729,'m avoid make connect 'm afraid get hurt .,Depression
730,challeng find way channel intens emot posit action .,Depression
731,"even quiet moment , heart race 'm danger .",Panic Disorder
732,'m avoid situat might expos vulner .,Anxiety Disorder
733,'m worri other perceiv panic .,Panic Disorder
734,feel overwhelm intens emot bubbl surfac .,Depression
735,'m convinc bodi betray attack .,Panic Disorder
736,challeng find still mind 's alway motion .,Anxiety Disorder
737,'m worri impact panic life .,Panic Disorder
738,feel like 'm held hostag anxious thought .,Anxiety Disorder
739,tri find way manag emot without manag .,Anger/ Intermittent Explosive Disorder
740,could silenc negat thought never seem stop .,Depression
741,day feel like 'm carri heavi weight one els see .,Depression
742,"even moment silenc , emot tumultu sea insid .",Anger/ Intermittent Explosive Disorder
743,'m worri anxieti prevent reach goal .,Anxiety Disorder
744,tri navig life thought whirlwind uncertainti .,Anxiety Disorder
745,feel like 'm juggl whirlwind emot threaten overwhelm .,Depression
746,feel like 'm trap prison anxieti .,Anxiety Disorder
747,tri find way calm storm uncertainti mind .,Anxiety Disorder
748,'m consum fear ca n't escap .,Panic Disorder
749,'m avoid situat challeng need control .,Anxiety Disorder
750,tri find way slow race thought head .,Panic Disorder
751,challeng find construct way cope intens feel .,Anger/ Intermittent Explosive Disorder
752,feel like 'm caught cycl panic wo n't end .,Panic Disorder
753,intern battl like seesaw emot tip one way anoth .,Anger/ Intermittent Explosive Disorder
754,"feel like 'm live underwat , struggl reach surfac .",Depression
755,tri lead exampl acknowledg strength other .,Narcissistic Disorder
756,tri find way diffus emot tension escal .,Depression
757,even thing use enjoy feel meaningless .,Depression
758,"'m constant edg , wait shoe drop .",Anxiety Disorder
759,'m afraid lose control embarrass .,Panic Disorder
760,'m convinc thing never improv .,Depression
761,"want chang , anger seem uncontrol .",Anger/ Intermittent Explosive Disorder
762,'s hard explain surg power emot sometim take .,Anger/ Intermittent Explosive Disorder
763,'m avoid situat might trigger panic attack .,Panic Disorder
764,tri find way ground thought scatter .,Anxiety Disorder
765,tri navig relationship awar uniqu qualiti .,Narcissistic Disorder
766,feel like emot respons like wild ride .,Anger/ Intermittent Explosive Disorder
767,pursuit excel drive factor endeavor .,Narcissistic Disorder
768,"'s like 'm constant wait shoe drop , even n't .",Anxiety Disorder
769,'s like 'm carri heavi weight chest .,Depression
770,'s like 'm star shine bright univers mediocr .,Narcissistic Disorder
771,'m avoid situat might make feel control .,Anxiety Disorder
772,feel like 'm juggl whirlwind emot threaten overwhelm .,Anger/ Intermittent Explosive Disorder
773,expect other conform prefer opinion .,Narcissistic Disorder
774,'s hard describ struggl manag strong emot .,Anger/ Intermittent Explosive Disorder
775,wish could find way channel anger someth posit .,Anger/ Intermittent Explosive Disorder
776,'m sweat profus ca n't stop .,Panic Disorder
777,feel like emot forc 's hard contain .,Anger/ Intermittent Explosive Disorder
778,expect peopl impress status accomplish .,Narcissistic Disorder
779,tri find moment peac amidst turbul thought .,Anxiety Disorder
780,'m good enough anyth .,Depression
781,"feel like 'm trailblaz , forg path other follow .",Narcissistic Disorder
782,tri maintain self-assured without alien other .,Narcissistic Disorder
783,feel like potenti influenc lead other .,Narcissistic Disorder
784,'m convinc peopl judg panic attack .,Panic Disorder
